BOROUGH,longitude,latitude,Residential,Education Facility,Cultural Facility,Recreational Facility,Social Services,Transportation Facility,Commercial,Government Facility,Religious Institution,Health Services,Public Safety,Water,Miscellaneous
Queens,-73.8423972385705,40.74149628803936,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.83827188217491,40.73877326020482,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.8364934440449,40.73706625478324,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.8238485910341,40.88771112667516,0,0,0,0,0,1,0,0,0,0,0,0,0
Staten Island,-74.196729991945,40.635261070285125,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93066638276323,40.842360681960955,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.92798170799749,40.84211032740367,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.83423857672173,40.72875116260524,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.94196679736764,40.739503204279586,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.83171708287027,40.653403895132875,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.94938260751648,40.5823491743181,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.96838854691363,40.65831544080994,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.8424698066297,40.828326161202114,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-74.04271671853805,40.60727790367868,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.84672248558252,40.74375556932703,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.83664365296013,40.76263658211579,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.8487752379357,40.74723039614,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97178440451849,40.77577539823907,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93351126691554,40.811099151336094,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.93235386516905,40.81157541199497,0,0,0,0,0,1,0,0,0,0,0,0,0
